Public ID,URL,Format,Width,Height,Created At,Folder
"ai-characters/e9chjfhj6h4yv5suvu39","https://res.cloudinary.com/dhfg3suis/image/upload/v1761658747/ai-characters/e9chjfhj6h4yv5suvu39.webp","webp",1024,1024,"2025-10-28T13:39:07Z",""
"ai-characters/rcauxai3ro8xmuiihsta","https://res.cloudinary.com/dhfg3suis/image/upload/v1761657816/ai-characters/rcauxai3ro8xmuiihsta.png","png",576,1024,"2025-10-28T13:23:36Z",""
"ai-characters/rjbvjmfqmkabmww3hcgs","https://res.cloudinary.com/dhfg3suis/image/upload/v1761657439/ai-characters/rjbvjmfqmkabmww3hcgs.webp","webp",1024,1536,"2025-10-28T13:17:19Z",""
"ai-characters/qu6o7qunlzlimok49o3o","https://res.cloudinary.com/dhfg3suis/image/upload/v1761656247/ai-characters/qu6o7qunlzlimok49o3o.jpg","jpg",600,480,"2025-10-28T12:57:27Z",""
"chat-images/i6hfk8lybzpkdpnhutvj","https://res.cloudinary.com/dhfg3suis/image/upload/v1761507954/chat-images/i6hfk8lybzpkdpnhutvj.jpg","jpg",1024,1024,"2025-10-26T19:45:54Z",""
"chat-images/cy49vhqrnzdnacwckky8","https://res.cloudinary.com/dhfg3suis/image/upload/v1761486737/chat-images/cy49vhqrnzdnacwckky8.jpg","jpg",1024,1024,"2025-10-26T13:52:17Z",""
"chat-images/u4dojnuzytmxgiultdnt","https://res.cloudinary.com/dhfg3suis/image/upload/v1761485162/chat-images/u4dojnuzytmxgiultdnt.jpg","jpg",1024,1024,"2025-10-26T13:26:02Z",""
"chat-images/cpnni5sifqqp1hgfvfxt","https://res.cloudinary.com/dhfg3suis/image/upload/v1761485019/chat-images/cpnni5sifqqp1hgfvfxt.jpg","jpg",1024,1024,"2025-10-26T13:23:39Z",""
"chat-images/gtywuwikbumvryd9xofc","https://res.cloudinary.com/dhfg3suis/image/upload/v1761482278/chat-images/gtywuwikbumvryd9xofc.jpg","jpg",1024,1024,"2025-10-26T12:37:58Z",""
"chat-images/bntnk7cytex3nu8uwsro","https://res.cloudinary.com/dhfg3suis/image/upload/v1761481798/chat-images/bntnk7cytex3nu8uwsro.jpg","jpg",1024,1024,"2025-10-26T12:29:58Z",""
